player,shots,goals,xg_total,goals_minus_xg,std_error,z_score,p_value,ci_low,ci_high,significant,p_value_fdr_bh,significant_fdr
Piotr Zieliński,22,1,1.530715460754496,-0.5307154607544959,1.125639146981108,-0.47147921443372043,0.6372985595197482,-2.736927648425856,1.6754967269168641,False,0.9424533645873414,False
Pierre-Emile Højbjerg,16,0,0.5382771755920253,-0.5382771755920253,0.7108764537745272,-0.7572021449493018,0.4489287653647822,-1.9315694224476512,0.8550150712636007,False,0.8658273095903745,False
Ante Rebić,20,1,1.5452360072822764,-0.5452360072822764,1.1595031217134364,-0.4702324617087386,0.6381889442200972,-2.8178203658023744,1.7273483512378218,False,0.9424533645873414,False
İlkay Gündoğan,14,1,1.6531610099402079,-0.6531610099402079,1.1513176293819396,-0.5673160848677732,0.5704994507903236,-2.9097020982948436,1.6033800784144276,False,0.9223074454443565,False
Juraj Kucka,13,0,0.6671497744235542,-0.6671497744235542,0.789152193612842,-0.8454006461912692,0.39788718384463984,-2.213859652225504,0.8795601033783957,False,0.849279091660876,False
Phil Foden,13,0,0.6790852755887167,-0.6790852755887167,0.7905113117272652,-0.8590456145465105,0.3903153504750767,-2.228458975945672,0.8702884247682388,False,0.849279091660876,False
Michy Batshuayi Tunga,14,2,2.6836660999350404,-0.6836660999350404,1.30098086814959,-0.5255005024842769,0.5992353040854124,-3.2335417460838896,1.8662095462138089,False,0.9424533645873414,False
Antonio Rüdiger,12,0,0.7619495006198964,-0.7619495006198964,0.81272921211272,-0.9375195197416126,0.3484913878204199,-2.354869485544442,0.830970484304649,False,0.8087280695606812,False
Eden Hazard,23,2,2.8711360593947854,-0.8711360593947854,1.4227236087260287,-0.6123016825276698,0.540338176686415,-3.6596230924526574,1.9173509736630865,False,0.9223074454443565,False
Joshua Kimmich,18,0,0.9539361920803956,-0.9539361920803956,0.9321946102989198,-1.0233230073863053,0.30615514903798546,-2.7810040548486294,0.8731316706878381,False,0.8087280695606812,False
Marcelo Brozović,12,0,1.0016986647762796,-1.0016986647762796,0.8847534818138744,-1.1321782681461172,0.25755949465500927,-2.735783624327887,0.7323862947753279,False,0.8087280695606812,False
Martin Braithwaite Christensen,21,1,2.069606506557579,-1.0696065065575788,1.3127628373606817,-0.814775126258167,0.4152010413296603,-3.6425743880271275,1.5033613749119699,False,0.849279091660876,False
Roland Sallai,16,0,1.106318664514189,-1.106318664514189,0.9987739935632147,-1.1076766832577398,0.26800147273274444,-3.0638797205933295,0.8512423915649516,False,0.8087280695606812,False
Marcus Thuram,13,0,1.1200164880721117,-1.1200164880721117,0.9926730507569372,-1.128283363004639,0.25920026737169044,-3.0656199159792097,0.8255869398349862,False,0.8087280695606812,False
