player,shots,xg_total,goals,goals_minus_xg,xg_per_shot,conversion
Rodrygo Silva de Goes,6,0.5698585333685172,0,-0.5698585333685172,0.09497642222808621,0.0
Kristjan Asllani,8,0.5670073005007629,0,-0.5670073005007629,0.07087591256259536,0.0
Declan Rice,10,0.5655028159339897,0,-0.5655028159339897,0.05655028159339896,0.0
César Azpilicueta Tanco,5,0.5635965402862196,1,0.43640345971378036,0.11271930805724392,0.2
Khvicha Kvaratskhelia,6,0.5632587351177546,1,0.4367412648822454,0.0938764558529591,0.16666666666666666
Jonas Older Wind,9,0.5631830708095518,0,-0.5631830708095518,0.06257589675661686,0.0
Iago Aspas Juncal,4,0.5617116869516129,1,0.4382883130483871,0.14042792173790322,0.25
Moisés Isaac Caicedo Corozo,3,0.5602759709880324,1,0.4397240290119676,0.1867586569960108,0.3333333333333333
Jack Grealish,3,0.5579464261307107,1,0.44205357386928934,0.18598214204357022,0.3333333333333333
Bruno Petković,6,0.5558964106091226,1,0.44410358939087735,0.0926494017681871,0.16666666666666666
Ola Toivonen,5,0.5519379290273805,1,0.4480620709726195,0.1103875858054761,0.2
Ruslan Malinovskiy,11,0.5498569614040097,0,-0.5498569614040097,0.04998699649127361,0.0
Takuma Asano,8,0.5474536555215752,1,0.4525463444784248,0.0684317069401969,0.125
Albin Ekdal,5,0.5445126591458851,0,-0.5445126591458851,0.10890253182917702,0.0
Zakaria Aboukhlal,3,0.5421374134683651,1,0.4578625865316349,0.18071247115612168,0.3333333333333333
Keisuke Honda,4,0.5405960250596374,1,0.45940397494036256,0.13514900626490936,0.25
Jan Bednarek,4,0.5398940914949772,1,0.46010590850502275,0.1349735228737443,0.25
Pierre-Emile Højbjerg,16,0.5382771755920253,0,-0.5382771755920253,0.03364232347450158,0.0
