player,shots,goals,xg_total,raw_conversion,expected_conversion,conv_mean,conv_hdi_low,conv_hdi_high,skill_mean,skill_hdi_low,skill_hdi_high,shrinkage,goals_minus_xg_raw,goals_minus_xg_shrunk
Edinson Roberto Cavani Gómez,19,3,2.6331240851010422,0.15789473684210525,0.13858547816321276,0.14410273574281127,0.09879776937792024,0.1962259482851634,0.04546466208876043,-0.38356613158997743,0.4170371179473855,0.7142688038236507,0.36687591489895777,0.10482789401237191
Marcel Sabitzer,23,1,1.3666339871083826,0.043478260869565216,0.059418869004712285,0.06197225220388518,0.03308510871211582,0.09905670713035857,0.04479328209515954,-0.6131411123645765,0.5541362405758741,0.8398189593819197,-0.3666339871083826,0.05872781358097656
Denzel Dumfries,12,3,2.2953480169852516,0.25,0.19127900141543763,0.19821881969243813,0.14487792076516112,0.25755759460117017,0.04425672531729874,-0.3336318964119933,0.3830189472845429,0.8818170936414396,0.7046519830147484,0.0832778193240058
Daniel Olmo Carvajal,51,4,4.125569296244562,0.0784313725490196,0.08089351561263847,0.08399860255733123,0.051768573150686246,0.12307750143812449,0.041050589972780216,-0.4775470066375802,0.46666395030942387,-0.26113181259617857,-0.1255692962445618,0.15835943417933063
Adrien Rabiot,15,1,1.2552073183561072,0.06666666666666667,0.08368048789040715,0.08666450085921312,0.05135572230583309,0.13004120892721135,0.03830035538598642,-0.5228982362950081,0.49276483349834943,0.8246124177770137,-0.2552073183561072,0.04476019453208968
Serge Gnabry,16,1,1.2956575247062814,0.0625,0.08097859529414259,0.0837670875267579,0.04917205442593678,0.12644372167595455,0.03689412571523443,-0.532883114781574,0.4963493144690465,0.849096092628901,-0.29565752470628137,0.04461587572184511
Olivier Giroud,36,4,4.011021165528365,0.1111111111111111,0.11141725459801013,0.11498888241701298,0.07593411523075365,0.16083176168239877,0.035580810294638,-0.422571745104964,0.42429321975543766,-10.666515773960645,-0.01102116552836474,0.1285786014841026
John Stones,16,2,1.998777358534864,0.125,0.124923584908429,0.12878653017178876,0.0855969073355204,0.17919514003786471,0.03487818049595548,-0.42201335697616815,0.42479896888381163,-49.552125031096786,0.001222641465135954,0.061807124213756115
Christian Dannemann Eriksen,29,2,2.3337129548866202,0.06896551724137931,0.08047286051333173,0.08290814128957616,0.049457180050366256,0.1239512767600917,0.032465191142003746,-0.5199863971276346,0.4804064174984102,0.7883715885855171,-0.33371295488662023,0.07062314251108859
Robert Lewandowski,35,4,4.127642938878087,0.11428571428571428,0.11793265539651678,0.12091376349233839,0.08078128392660683,0.1677621220275627,0.028349255657461603,-0.4196241205152287,0.4105833876709617,0.18257300975018176,-0.1276429388780871,0.10433878335375635
Piotr Zieliński,22,1,1.530715460754496,0.045454545454545456,0.06957797548884072,0.07122443277521018,0.03995468231524461,0.1105646031379523,0.02515899209204564,-0.5860444196610723,0.5082033179095986,0.931748624303063,-0.5307154607544959,0.03622206030012798
Lamine Yamal Nasraoui Ebana,18,1,1.471732148120941,0.05555555555555555,0.08176289711783007,0.08361901103637794,0.049209758057791694,0.12603066479674566,0.024470772997565504,-0.5425694550607658,0.4821120383188,0.9291758031184763,-0.4717321481209411,0.0334100505338617
Juraj Kucka,13,0,0.6671497744235542,0.0,0.051319213417196474,0.05252131079827244,0.025669635646296835,0.08817186295286167,0.02442172332848891,-0.7194344669977895,0.5808435331041562,0.976576075488461,-0.6671497744235542,0.015627265953987557
Ivan Rakitić,15,1,1.425756758090203,0.06666666666666667,0.09505045053934687,0.09703559564874843,0.05955456329842922,0.14238587377487646,0.022866130067931145,-0.5059893225473591,0.4578579177919353,0.9300605895850167,-0.4257567580902031,0.029777176641023306
Phil Foden,13,0,0.6790852755887167,0.0,0.05223732889143974,0.053367514393119604,0.026267206223718354,0.08925113784171776,0.022598052870360874,-0.7145089056680574,0.5754937547642767,0.978364408639105,-0.6790852755887167,0.0146924115218382
Kieffer Roberto Francisco Moore,12,1,1.3645860288539182,0.08333333333333333,0.11371550240449319,0.1158570503495926,0.07450919129550183,0.1648293778030814,0.02107661545841344,-0.46606344375256814,0.43061308919400454,0.9295130002047067,-0.3645860288539182,0.02569857534119291
Ante Rebić,20,1,1.5452360072822764,0.05,0.07726180036411381,0.07877428208150036,0.04559836759526823,0.11996217497610914,0.021027382605055323,-0.5610667697140368,0.4873574889677126,0.9445201088267996,-0.5452360072822764,0.03024963434773098
Romelu Lukaku Menama,42,7,7.1419227578181665,0.16666666666666666,0.1700457799480516,0.17239483141005857,0.1255714579570038,0.2248426371200066,0.016554034529075112,-0.3553927474493517,0.3476375574161492,0.30483198804030076,-0.14192275781816655,0.09866016140429323
Antonio Rüdiger,12,0,0.7619495006198964,0.0,0.0634957917183247,0.0640787523143491,0.033945080135873114,0.10284076385976221,0.009761879921652561,-0.6572963729998786,0.5251288268887628,0.9908189097222303,-0.7619495006198964,0.006995527152292791
İlkay Gündoğan,14,1,1.6531610099402079,0.07142857142857142,0.11808292928144341,0.1186578294225184,0.07700367997274701,0.16780296530705424,0.0055088881816502955,-0.4730611756471004,0.40943209153671023,0.987677461066167,-0.6531610099402079,0.00804860197504964
